,filename,title
74,S62318_1711136619770001FG9r.pdf,Accelerating Development of Surgical Robotics & AI through NVIDIA’s Ecosystem
75,S62149_1711138707003001YSl5.pdf,Decentralized Collaborative AI with Federated Learning
76,S61156_1711138190086001oniI.pdf,"Accelerating Drug Discovery: Optimize Dynamic GPU Workflows with CUDA Graphs, Mapped Memory, C++ Coroutines, and More"
77,S61278_1710914554065001riLz.pdf,Accelerate RecSys and Increase GPU Utilization with Multiple CUDA Streams
78,S62092_1711002057287001nspy.pdf,"Better, Cheaper, and Faster: Alignment with KTO"
79,EXPT62857 - Enterprise Value with Generative AI (1)_1710799734640001dGOe.pdf,"Enterprise Value with Generative AI using Cassandra - Product Manager, Weights & Biases"
80,S63432_1710736720910001ODIm.pdf,Accelerating Enterprise: Tools and Techniques for Next-Generation AI Deployment
81,Iurii_Milovanov_GTC_2024_FINAL_1710345999297001ItE7.pdf,"Making LLMs & RAG Work with Ease (March, 2024)"
82,S62263_1711136876146001ZfrQ.pdf,Speed-of-Light AI Inference on NVIDIA RTX: Windows Workstation and Gaming PCs
83,S62559_1711136145506001ZGw9.pdf,Accelerating and Securing GPU Accesses to Large Datasets
84,S61329_1711137270237001eeot.pdf,(R)Evolution of AI-Driven Product Innovation
85,S62220_1711139746530001xyUn.pdf,Unlocking developer productivity across CPU+GPU with MAX
86,S62390_1710881746342001vc4m.pdf,Accelerating Generative AI with TensorRT-LLM: Enhancing Seller Experience at Amazon
87,S61494_1711139273625001N98u.pdf,Accelerate your smart-city: Edge AI deployments with open source cloud-native infrastructure
88,S61958_1711134741207001lvWZ.pdf,Accelerating Deep Learning Applications with GPU-Based On-the-Fly Compression
89,S62659_1710961220097001qu1W.pdf,What’s New in JAX
90,S62672_1711139109793001xRet.pdf,"Energy-Efficient Generative AI: History, Challenges, and Mitigating Strategies"
91,S61453_1710883288482001vSTq.pdf,Optimizing Large-Scale Distributed GPU Training with Holistic Trace Analysis
92,S63347_1711141140793001ZrHZ.pdf,Broadening Access and Accelerating Responsible AI Innovation Through the National AI Research Resource (NAIRR)
93,S62257_1710910746847001SntI (1).pdf,Accelerate ETL and Machine Learning in Apache Spark
94,S62533_1710894348678001kWi4.pdf,"Beyond RAG: Building Agents, CoPilots, Assistants and More! (Deep Learning Team) - GTC’24 - March 18th, 2024"
95,S63081_Accelerate your workflows and gain competitive advantage with AI Workstations - GTC_1710211159333001rDnx.pdf,Accelerate Workflows and Gain Competitive Advantage with AI on Public Workstations
96,S62555_1710879008719001OY3O.pdf,"Using NVIDIA Grace for Better Performance and Energy Efficiency (by Greg Glockner, Ph.D.)"
97,S61691_1710908745967001FHWg (1).pdf,Accelerating End-to-End Large Language Models using a Unified Inference Architecture and FP8
98,S61968_1711383374406001CXda.pdf,Customizing Generative AI with Your Own AI Foundry
99,S61203_1710820193475001i03O (1).pdf,A Deep Dive into the Latest HPC Software
100,S62275_1711139642543001lCia.pdf,Performance Optimization for Grace CPU
101,S63213_1710737703157001hDMO.pdf,Optimize Generative AI Inference with Quantization in TensorRT-LLM and TensorRT
102,S62806_1710578409961001i34I.pdf,Introducing Disaggregated Multi-Tower: a New Modeling Technique for Efficient Large-Scale Recommendations
103,NVIDIA_DKU_GTC_320_Miclaus (2)_1710639993227001vVpJ.pdf,"Enabling AI-Powered Transformation in Life Sciences - Kelci Miclaus, Head of AI Solutions, Health & Life Sciences at Dataiku"
104,S61610_1710983554816001kmVr.pdf,Generative AI and LLM Ensembles for Forecasting Capital Markets
105,S61268_1711137189010001Zgrb.pdf,HOMEE Optimal Planning Engine: Pioneering AI Interior Design for the Global Home Industry
106,EXPT63427_1710331490041001MeKW.pdf,An AI Platform From India: From The Ganges To The Globe
107,S61767 - NVIDIA Video Technologies - Abhijit Patait_1711050944097001czgN.pdf,NVIDIA Video Technologies
108,S61898_r1.1_1710946242284001v81I.pdf,"6G Computing Architecture: Distributed, Software Defined, Accelerated and AI-enabled"
109,GTC Talk S62100 Learn How Educators_1710901554037001hkhi.pdf,"Learn How Educators are Integrating Generative AI, Simulation, and Design into Their Curricula"
110,S61691_1710908745967001FHWg.pdf,Accelerating Large Language Models using a Unified Inference Architecture and FP8
111,S63057_1711137764468001lH3G.pdf,"AI and the Radical NVIDIA GTC18 - Stephan Pretorius, WPP"
112,S62227_1711392271982001Di5r.pdf,Solving the Generative AI Infrastructure Challenge in 2024
113,S61159_1711140427938001wuBX.pdf,Grace Hopper Superchip Architecture and Performance: Optimizations for AI Applications
114,S62163_1711137029100001ZAoZ.pdf,"The Goldilocks Approach to LLMs: Balancing Accuracy, Latency, and Cost for Optimal Performance"
115,2024-03-01  GTC Theater Session - Accelerating Innovation in HC_new_1710872719314001jkBU.pdf,Accelerating Innovation in Healthcare and Life Sciences: Lightning Talk
116,S62079_1710977476844001mz0f.pdf,Becoming Self-Instructed: The Key to Building High-Quality Models
117,EXPT62989_1710919196704001tYY5 (1).pdf,Architecting Enterprise AI success with RAG and LLMs: Lessons from the First 12 Months of Building Generative AI Solutions
118,S61494_1711139273625001N98u (1).pdf,Accelerate your smart-city: Edge AI deployments with open source cloud-native infrastructure
119,S62410_1711139543835001Zfbl.pdf,Boosting Service Throughput: From Scratch to Extreme
120,S62494_1710537651742001cGHN.pdf,Accelerating the Generative AI Transformation
121,S62794_1711137132974001lGoB.pdf,S62794 - Build Secured AI Cloud Infrastructure at Scale
122,S62359_1708641953650001ogDb.pdf,Machine Learning has Taken Weather Forecasting by Storm How About Climate Modeling?
123,S62192_1711057720932001KuIu.pdf,"Advanced Performance Optimization in CUDA Igor Terentyev*, NVIDIA DevTech Compute"
124,S62493_1710965314889001RDmn.pdf,Solving the Biggest Challenges in Generative AI [S62493]
125,S62061_EN_Qinginlu_1710870206340001R43v.pdf,Tencent Text-to-Image Generative ModelLu Qinglin 2024.3.21
126,S62293 - Entering A New Frontier of AI Networking Innovation_1711049586946001eRPx.pdf,Entering A New Frontier of AI Networking Innovation Gilad Shainer
127,S62553_1711133464528001x9uD.pdf,Accelerated Computing is Accelerating Industrial Digitalization
128,S62541_1710894498167001OQj7.pdf,"Diffusion Models: A Generative AI Big BangArash Vahdat, KarstenKreis"
129,EXPT63299_1710972719730001K7Vc.pdf,AI Inference at the Edge
130,EXPT62975_1710870460080001QGFy.pdf,2024 SK hynix AI INFRA
131,S62352_1711151074399001GYsm.pdf,Using AI to discover new antibiotics
132,S62613_1710772813836001Zn9R.pdf,Digitalizing Global Manufacturing Supply Chains with Digital Twins
133,S62529_1710943079626001dMDh.pdf,Accelerating Sparse Linear Solvers for O&G Reservoir Simulations Using NVIDIA Grace
134,S62476_1710178444344001l0C2.pdf,GTC 2024 - Getting Storage Right for AI Application
135,S61665_1711140404779001xpnW.pdf,Implementing Gen AI in Practice Yaron Haviv
136,S62329_1710737882537001hXmm.pdf,How to Build a World Class AI Factory
137,S62588_1711137620854001lYOD.pdf,Creating Seamless Digital Environments at Scale for Immersive Entertainment Destinations
138,S62549_1710344994751001L71b.pdf,Mastering Speech AI For Multilingual Multimedia Transformation
139,S62739_1710781463997001vNRP.pdf,Standard AI : How AI is Transforming Loss Prevention and the Way Stores Work
140,S62245_1711135121196001aJDF.pdf,"Model Development for Bias, Factuality, and Attribution"
141,S61436_1711140321932001FGkf.pdf,Huge Ensembles of Weather Extremes using NVIDIA Fourier Forecasting Neural Network (FourCastNet)
142,S62109_1711140067362001Fjdv.pdf,Large Language Model Fine-Tuning
143,2024_1711046510606001lWsU.pdf,Generative AI Demystified Amanda Saunders
144,Lessons from 10 years of building GPU cloud _17107166905980,Lessons from 10 years of building GPU cloud
