,name,description
10,Ernst & Young,"EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.

Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.

Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.

EY refers to the global organization, and may refer to one or more, of the member firms of Ernst & Young Global Limited, each of which is a separate legal entity. Ernst & Young Global Limited, a UK company limited by guarantee, does not provide services to clients. Information about how EY collects and uses personal data and a description of the rights individuals have under data protection legislation are available via ey.com/privacy. EY member firms do not practice law where prohibited by local laws. For more information about our organization, please visit ey.com."
11,Lambda,"Founded and led by deep learning engineers, Lambda provides deep learning infrastructure including a GPU cloud service, on-prem servers, GPU clusters, GPU workstations, and GPU laptops to customers such as Intel, Microsoft, Google, Amazon Research, Tencent, Kaiser Permanente, MIT, Stanford, Harvard, Caltech, and the Department of Defense."
12,Lenovo,"Lenovo (HKSE: 992) (ADR: LNVGY) is a US$62 billion revenue global technology powerhouse, ranked #217 in the Fortune Global 500, employing 77,000 people around the world, and serving millions of customers every day in 180 markets. Focused on a bold vision to deliver smarter technology for all, Lenovo has built on its success as the world’s largest PC company by further expanding into growth areas that fuel the advancement of ‘New IT’ technologies (client, edge, cloud, network, and intelligence) including server, storage, mobile, software, solutions, and services. This transformation together with Lenovo’s world-changing innovation is building a more inclusive, trustworthy, and smarter future for everyone, everywhere. To find out more visit https://www.lenovo.com, and read about the latest news via our StoryHub at http://storyhub.lenovo.com/"
13,QCT,"Quanta Cloud Technology (QCT) is a global datacenter solution provider. We combine the efficiency of hyperscale hardware with infrastructure software from a diversity of industry leaders to solve next-generation datacenter design and operation challenges. QCT serves cloud service providers, telecoms and enterprises running public, hybrid and private clouds.

Product lines include hyper-converged and software-defined datacenter solutions as well as servers, storage, switches, integrated racks with a diverse ecosystem of hardware component and software partners. QCT designs, manufactures, integrates and services cutting edge offerings via its own global network. The parent of QCT is Quanta Computer, Inc., a Fortune Global 500 corporation."
14,Run:ai,"Run:ai, an NVIDIA Preferred Partner, enables organizations to surmount many of the key obstacles encountered in building modern AI applications by simplifying and optimizing AI infrastructure in private cloud, public cloud and hybrid. This is achieved through dynamic AI workload scheduling and innovative software-based GPU fractioning, optimizing GPU allocation and utilization. These capabilities significantly accelerate critical AI initiatives. The platform supports diverse needs, from facilitating interactive environments for data scientists using their preferred tools, to boosting the efficiency of large-scale, resource-intensive training workloads, to ensuring dependable, SLA-compliant inference at scale. Run:ai is proud to be collaborating with industry leaders to shape and introduce the purpose-built AI infrastructure of tomorrow, one that is primed to power a new generation of transformative solutions rooted deeply in AI."
15,Supermicro,"Supermicro (NASDAQ: SMCI) is a global leader in Application-Optimized Total IT Solutions. Founded and operating in San Jose, California, Supermicro is committed to delivering first to market innovation for Enterprise, Cloud, AI, and 5G Telco/Edge IT Infrastructure. We are transforming into a Total IT Solutions provider with server, AI, storage, IoT, and switch systems, software, and services while delivering advanced high-volume motherboard, power, and chassis products. The products are designed and manufactured in-house (in the US, Taiwan, and the Netherlands), leveraging global operations for scale and efficiency and optimized to improve TCO and reduce environmental impact (Green Computing). The award-winning portfolio of Server Building Block Solutions® allows customers to optimize for their exact workload and application by selecting from a broad family of systems built from our flexible and reusable building blocks that support a comprehensive set of form factors, processors, memory, GPUs, storage, networking, power and cooling solutions (air-conditioned, free air cooling or liquid cooling). 

Supermicro, Server Building Block Solutions, and We Keep IT Green are trademarks and/or registered trademarks of Super Micro Computer, Inc."
16,Z by HP,"Z by HP creates high-performance laptops, desktops, displays and solutions designed to equip technical and creative pros in their journey to keep evolving."
17,ZT Systems,"ZT Systems is a leading provider of complex compute, storage, and accelerator solutions for the world's leading cloud and telecom service providers. With comprehensive engineering expertise, global high-volume manufacturing capabilities, and strong partnerships with leading technology suppliers, we can address the most demanding requirements quickly and efficiently. ZT leverages hyperscale experience and cutting-edge technology to develop creative solutions that are purpose-built for the most complex compute, storage, and accelerator workloads. Headquartered in Secaucus, NJ, ZT operates globally, with robust capabilities customers count on to deploy solutions on time, around the world, and error-free. 

At ZT, we're committed to excellence in everything we do—from the first spark of inspiration to the final execution. Our company, culture, and capabilities are built around that commitment, enabling us to deliver reliable solutions optimized for the most advanced workloads. Together with our customers, we’re building the digital infrastructure that helps people see and experience the world differently."
18,ASUStek LTD,"ASUS is passionate about technology and driven by innovation. We dream, we dare and we strive to create an effortless and joyful digital life for everyone. We're always in search of incredible ideas and experiences, and we aspire to deliver the incredible in everything we do."
19,Crusoe,"Crusoe Cloud is a scalable and easy-to-use platform optimized for the most demanding AI and HPC workloads, powered uniquely by clean energy. Crusoe is on a mission to align the future of computing with the future of the climate. As builders and operators of clean computing infrastructure, Crusoe reduces both the costs and the environmental impact of the world’s expanding digital economy. By unlocking stranded sources of energy to power artificial intelligence, crypto, and other high performance computing applications, Crusoe is creating the future of compute-intensive innovation that reduces emissions rather than adds to them."
20,GIGABYTE,"GIGABYTE is an engineer, visionary, and leader in the world of tech that uses its hardware expertise, patented innovations, and industry leadership to create, inspire, and advance. Renowned for over 30 years of award-winning excellence in motherboards and graphics cards, GIGABYTE is a cornerstone in the HPC community, providing businesses with server and data center expertise to accelerate their success. At the forefront of evolving technology, GIGABYTE is devoted to inventing smart solutions that enable digitalization from edge to cloud, and allow customers to capture, analyze, and transform digital information into economic data that can benefit humanity and ""Upgrade Your Life"". Please visit https://www.gigabyte.com/ for more information."
21,IBM,"IBM is a leading global hybrid cloud and AI, and business services provider, helping clients in more than 175 countries capitalize on insights from their data, streamline business processes, reduce costs and gain the competitive edge in their industries. All of this is backed by IBM's legendary commitment to trust, transparency, responsibility, inclusivity, and service.When you interact with IBM, this serves as your authorization to NVIDIA GTC or its vendor to provide your contact information to IBM in order for IBM to follow up on your interaction.  IBM's use of your contact information is governed by the IBM Privacy Policy. If you do not wish your contact information to be shared with IBM, please contact NVIDIA GTC."
22,NexGen Cloud,"NexGen Cloud is a sustainable European cloud IaaS, offering direct accessibility to the most in-demand enterprise-grade GPUs in the world through its flagship product, Hyperstack.   Hyperstack is the ultimate self-service, on-demand GPUaaS Platform offering the H100, A100, L40 and more, delivering its services to some of the most promising AI start-ups in the world through NVIDIA’s Inception program. Running on 100% renewable energy and powered by NVIDIA architecture, Hyperstack is up to 75% more cost-effective than Legacy Cloud Providers. The platform supports a diverse range of high-intensity workloads, such as Gen AI, LLMs, ML, and rendering. Sign up for free and explore without barriers at www.hyperstack.cloud."
23,Northern Data Group,"Northern Data Group is a leading provider of specialized High-Performance Computing (HPC) infrastructure solutions to businesses and research institutions, utilizing GPU and ASIC-based solutions. Our flexible compute power fuels innovation in our three core business divisions: Taiga Cloud, Ardent Data Centers and Peak Mining. Through our HPC infrastructure, we pioneer ambitious computing innovation that drives progress in the AI, ML and Generative AI industries. Our partnerships with industry-leading manufacturers including Gigabyte, AMD, and NVIDIA are fundamental to the acceleration of innovation across sectors including life sciences, financial services and energy.

Schedule a Meeting: https://taigacloud.com/nvidia-elite-partner-gtc2024"
24,PNY Technologies,"PNY Technologies is the leading NVIDIA RTX graphics, data center, and embedded GPU partner across NALA and EMEAI. Our extensive GeForce lineup targets enthusiast gamers. NVIDIA Omniverse Enterprise, NVIDIA AI Enterprise, Metropolis, Holoscan, or GPU virtualization are also areas of expertise, as is NVIDIA IGX Orin, optimized for AI at the edge. Partnering with VAST Data’s unique data platform and product portfolio for AI or HPC, and PNY’s enterprise-grade data center interconnect products, switches, and NICs, PNY offers ideal NVIDIA GPU, and associated hardware and software infrastructure, to drive solutions from the data center to the edge and cloud – however demanding your AI, HPC, graphics, simulation, or visualization requirements are."
25,Samsung,"Samsung Electronics inspires the world and shapes the future with transformative ideas and technologies. The company is redefining the worlds of TVs, smartphones, wearable devices, tablets, digital appliances, network systems, and memory, system LSI, foundry and LED solutions."
26,SoftServe,"SoftServe is a premier IT consulting and digital services provider. We expand the horizon of new technologies to solve today's complex business challenges and achieve meaningful outcomes for our clients. Our boundless curiosity drives us to explore and reimagine the art of the possible. Clients confidently rely on SoftServe to architect and execute mature and innovative capabilities, such as digital engineering, data and analytics, cloud, and AI/ML.

Our global firm has more than 30 years of experience delivering digital solutions at exceptional speed to enterprise industries, including high tech, financial services, healthcare, life sciences, retail, energy, and manufacturing. Learn more on our website, blog, LinkedIn, Facebook, and X."
27,VAST Data,"VAST Data and NVIDIA have joined forces to provide proven, replicable, and validated AI solutions that can benefit every organization, delivering simple and scalable enterprise file services to modern AI clouds. The NVIDIA DGX SuperPOD with the VAST Data Platform as a certified data store has the key advantage of enterprise NAS simplicity. In contrast to parallel file system-based architectures, the VAST Data Platform not only offers the performance to meet demanding AI workloads but also non-stop operations and unparalleled uptime all on a system that can easily be supported by enterprise IT teams."
28,Vultr,"Vultr is on a mission to make high-performance cloud computing easy to use, affordable, and locally accessible for businesses and developers around the world. A favorite with developers, Vultr has served over 1.5 million customers across 185 countries with flexible, scalable, global cloud computing, cloud GPU, bare metal, and cloud storage solutions. Founded by David Aninowsky, and completely bootstrapped, Vultr has become one of the largest cloud computing platforms in the world, without ever raising equity financing. Learn more at www.vultr.com."
29,Accenture,"Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services. We are a talent- and innovation-led company serving clients in more than 120 countries. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability."
30,Ansys Inc.,"Powering Innovation That Drives Human Advancement
When visionary companies need to know how their world-changing ideas will perform, they close the gap between design and reality with Ansys simulation. For more than 50 years Ansys has enabled innovators to push boundaries by using the predictive power of simulation. From sustainable transportation to advanced semiconductors, from satellite systems to life-saving medical devices, the next great leaps in human advancement will be powered by Ansys."
31,CDW,"CDW is a leading multi-brand technology solutions provider to business, government, education & healthcare organizations in US, UK & Canada. CDW features dedicated account managers who help customers choose the right technology products & services to meet their needs. Areas of focus include software, network communications, notebooks/mobile devices, data storage, video monitors, desktops, printers & solutions such as, collaboration, security, mobility, data center optimization & cloud computing."
32,DigitalOcean,"DigitalOcean is one of the world’s fastest growing cloud computing platforms focused on simplifying cloud infrastructure for software developers and startups. The company is headquartered in New York City with 15 datacenters across the world. The new generation of startups leverage their cloud infrastructure to rapidly deploy and scale their production environments and distributed applications. For more information, visit https://www.digitalocean.com"
33,EdgeConneX,"EdgeConneX provides a full range of sustainable data center solutions worldwide. We work closely with our customers to offer choices in location, scale, and type of facility, from Hyperlocal to Hyperscale. EdgeConneX is a global leader in data center services for a diverse portfolio of industries, including Content, Cloud, Networks, Gaming, Automotive, SaaS, IoT, HPC, Security, and more. With a mission predicated on taking care of our customers, our people, and our planet."
34,Foxconn,"Established in Taiwan in 1974, Foxconn is the world’s largest electronics manufacturer. Foxconn is also the leading technological solution provider, and it continuously leverages its expertise in SW and HW to integrate its unique manufacturing systems with emerging technologies. The Group has expanded not only its capabilities into the development of electric vehicles, digital health and robotics, but also three key technologies –AI, semiconductors and new-generation communications technology ."
35,Hexagon,"Hexagon is the global leader in reality technology. With a unique combination of sensors, software, and platforms we empower customers to capture physical reality and create digital intelligence. By transforming data into quality outcomes we enable industries to create more value, responsibly."
36,Hyve Solutions,"Hyve Solutions is a leader in the design to worldwide deployment of hyperscale digital infrastructures. In partnership with customers, Hyve leverages deep-seated industry experience and strong vendor partnerships to design and deliver purpose-built server, storage, and networking solutions to meet datacenter demands for today and beyond."
37,Micron,"Micron Technology is a global leader in memory and storage solutions and the only U.S.-based memory manufacturer. Our high-performance DRAM, NAND and NOR memory and storage products are transforming how the world uses information to enrich life for all. Our solutions fuel the data economy and enable advancements in today's most disruptive technologies like AI, machine learning and 5G — unleashing unprecedented opportunities across cloud, data center, networking and mobile market segments."
38,MSI,"MSI is a leading global company in the ICT industry with more than 35 years of experience in gaming, content creation, business productivity, and AIoT solutions. Our strong R&D and manufacturing capabilities help to provide efficient DMS solutions for various AIoT applications, including cloud servers, network appliances, AI robotic appliances, vehicle infotainment, industrial automation, and more. We are known as a trusted partner who helps businesses extract value from industrial data."
39,SK hynix,"SK hynix is a provider of memory solutions with innovation and investment in R&D spanning 40 years.
As a tech-leader, SK hynix was the world’s first to develop HBM, followed by its pioneering ramp up in production of HBM3 and supply of its latest GPU to NVIDIA, not to mention being the first to succeed in developing CMS. 
SK hynix will continue its journey as a value-creating tech leader, and will provide enhanced user experience in tandem with NVIDIA’s no.1 system and technology."
40,Snowflake,"Organizations use Snowflake's Data Cloud to unite siloed data, discover and securely share data, power data applications and execute diverse AI/ML and analytic workloads across multiple clouds and geographies. Organizations, including 647 of the 2023 Forbes Global 2000 as of October 31, 2023, use the Snowflake Data Cloud to power their businesses. Learn more: snowflake.com."
41,Weka,"WEKA is a data platform provider for AI and other performance-intensive workloads, helping data-driven organizations seamlessly and sustainably store, process, and manage their data across edge, core, cloud, hybrid and multicloud environments."
42,World Wide Technology,"World Wide Technology (WWT), a $20B systems integrator, brings a proven approach for public and private organizations to evaluate, architect and implement multi-vendor solutions. Clients have hands-on access to cutting-edge capabilities across infrastructure, data and AI, security, cloud and more through the Advanced Technology Center. To learn more, visit wwt.com."
43,Cisco,"Cisco designs and sells broad lines of products, provides services, and delivers integrated solutions to develop and connect networks around the world. As a global market leader, we help customers connect, digitize, and thrive. Together, we change the way the world works, lives, plays, and learns."
44,Cloudflare,"Cloudflare’s connectivity cloud delivers the most full-featured, unified platform of cloud-native products and developer tools, so any organization can gain the control they need to connect, protect, and build applications.

Enter for a chance to win a Lego set: https://bit.ly/CloudflareatGTC24"
45,Datadog Inc.,"Datadog is the cloud-native SaaS monitoring and security platform for modern applications at any scale. By unifying metrics, traces, logs, and more, Datadog helps dev, ops, security, and business teams ship better services and troubleshoot faster."
46,Dataiku,"Dataiku is the platform for Everyday AI, enabling data experts and domain experts to work together to build AI into their daily operations, from advanced analytics to Generative AI. Together, they design, develop and deploy new AI capabilities."
47,DataStax,"DataStax, the GenAI Data company, helps developers and companies successfully create a new world through GenAI. A one-stop Generative AI Stack with everything needed for a faster, easier, path to production for relevant and responsive GenAI apps, DataStax delivers a RAG-first developer experience."
48,Delta Electronics,"Delta, founded in 1971, is a global leader in switching power supplies and thermal management products with a thriving portfolio of smart energy-saving systems and solutions in the fields of industrial automation, building automation, telecom power, data center infrastructure, EV charging, renewable energy, energy storage and display, to nurture the development of smart manufacturing and sustainable cities."
49,Domino Data Lab,"Domino Data Lab powers businesses with its Enterprise AI platform. Domino accelerates the development and deployment of data science work while increasing collaboration and governance. With Domino, enterprises can develop better medicines, grow more productive crops, build better cars, and more."
50,EDOM Technology,"EDOM Technology is Asia's premier distribution and solutions provider with subsidiaries across Asia. EDOM offers top-notch distribution and solutions to partners in various industries, including Edge-AI, Computing, IoT, Networking & Data Center, automotive, medical, Consumer and more."
51,Hitachi Vantara,"At Hitachi Vantara, we transform the way data fuels innovation, by providing the data foundation for the world's leading innovators. Through data storage, infrastructure systems, cloud management and digital expertise, we help customers build the foundation for sustainable business growth."
52,Inventec,"Founded in 1975, Inventec manufactures computers, telephones, notebooks, and servers and has developed a strong foundation for global success. In recent years, our company has become even more active in such industries as cloud computing, wireless communication/5G, artificial intelligence, and IoT."
53,IREN,IREN offers colocation and AI cloud services. The company’s next-generation data centers are purpose-built for power-dense compute and powered by100% renewable energy.
54,Lablup,"Lablup makes AI accessible offering Backend.AI, the first NVIDIA DGX-Ready Software in APAC as a MLOps platform. It provides top-class efficiency and speed using patented fractional GPU scaling for all-size AI workloads including GenAI and LLMs to all industries like telco, finance, healthcare, etc."
55,Lockheed Martin,"Lockheed Martin is a global security and aerospace company that employs approximately 116,000 people worldwide and is principally engaged in the research, design, development, manufacture, integration and sustainment of advanced technology systems, products and services."
56,MediaTek Inc.,"MediaTek is the world’s 4th largest global fabless semiconductor company. We develop innovative systems-on-chip (SoC) for mobile devices, home entertainment, connectivity, auto and IoT products. We power more than 2 billion devices a year and a driving force in key technologies including AI and 5G."
57,Pure Storage,Pure Storage uncomplicates data storage for AI. Pure delivers a cloud experience that empowers every organization to get the most from their data while reducing the complexity and expense of managing the infrastructure behind it. Take the next step into your AI journey with confidence.
58,Quantiphi,Quantiphi is an award-winning AI-first digital engineering company reimagining transformational opportunities at the heart of business. Quantiphi combines disciplined data-engineering practices and cutting-edge AI research to achieve quantifiable business impact at an unprecedented speed.
59,"Red Hat, Inc.","Red Hat is the world’s leading provider of enterprise open source solutions, using a community-powered approach to deliver high-performing Linux, cloud, container, and Kubernetes technologies."
60,Sterling,"Sterling is an award-winning technology solutions provider specializing in Digital Workspace, Modern Infrastructure, Connectivity, Security, Cloud, and Services. Sterling delivers a transformative IT experience that is ethical, consistent, transparent, and predictable."
61,VMware,"VMware by Broadcom is a leading provider of multi-cloud services for all apps, enabling digital innovation with enterprise control. With VMware Cross-Cloud[tm] services and our global ecosystem of partners, we deliver the smartest path to cloud, edge and app modernization."
62,Weights & Biases,"Weights & Biases is the AI Developer Platform that enterprises use as their ML system of record, to boost productivity for ML engineers and teams, and help them get productionized ML at scale. Developers use W&B Models to track and visualize ML experiments, fine-tune models at scale, and maintain a centralized hub of all models with a seamless handoff point to deployment. Prompt engineers use W&B Prompts to explore LLM prompts with greater granularity, and to monitor LLMs for better performance."
63,Yotta,"Yotta Data Services, a cutting-edge Digital Transformation enabler offering Hyperscale Data Centers,Cloud Services, AI-HPC GPU Cloud Services, IT Management,Cybersecurity & more. We accelerate DIGITAL INDIA & DIGITAL WORLD investing in R&D industry experts & strong partnerships with OEMs & startups."
64,Amphenol,"Amphenol Communications Solutions (ACS), a division of Amphenol Corporation, is a world leader in interconnect solutions for Communications, Mobile, RF, Optics, and Commercial electronics markets.  Amphenol Corporation is one of the world's largest designers and manufacturers of electrical, electronic and fiber optic connectors and interconnect systems, antennas, sensors and sensor-based products and coaxial and high-speed specialty cable.  ACS has an expansive global presence in research and development, manufacturing, and assemblies for diverse applications including server, storage, data center, mobile, RF, networking, industrial, business equipment and automotive."
65,CoolIT Systems,"CoolIT Systems specializes in scalable liquid cooling solutions for the world’s most demanding computing environments. In the desktop enthusiast market, CoolIT provides unparalleled performance for a range of gaming systems. In the enterprise data center and high performance computing markets, CoolIT partners with global leaders in OEM server design to develop the most efficient and reliable liquid cooling solutions for their own leading-edge products. Through it's Direct Liquid Cooling technology, CoolIT enables dramatic increases in rack densities, component performance and power efficiencies. Together, CoolIT and its partners are leading the way for widespread adoption of high-performance computing."
66,DXC Technology,"DXC Technology helps global companies run their mission-critical systems and operations while modernizing IT, optimizing data architectures, and ensuring security and scalability across public, private and hybrid clouds. The world's largest companies and public sector organizations trust DXC to deploy services to drive new levels of performance, competitiveness, and customer experience across their IT estates. Learn more about how we deliver excellence for our customers and colleagues at DXC.com."
67,H3C,"H3C is an industry leader in the provision of digital solutions, and is committed to becoming the most trusted partner of its customers in their quest for business innovation and digital transformation. We offer a full portfolio of digital infrastructure products, spanning across compute, storage, networking, 5G, security, terminal and related domains, and provide a comprehensive one-stop digital platform that includes cloud computing, big data, artificial intelligence (AI), industrial internet, information security, intelligent connectivity, and edge computing, as well as end-to-end technical services. We are also the exclusive provider of HPE® servers, storage and associated technical services in China."
68,Nettrix,"Nettrix is a server manufacturer integrating R&D, production, deployment, and O&M, as well as an IT system solution provider. It aims to provide customers industry-wide with various types of servers and IT infrastructure products such as common rack based on X86 architecture, artificial intelligence, multiple nodes, edge computing and JDM life cycle customization.
Nettrix has developed server products for industries including Internet, telecommunications, finance, medical care and education."
69,Northrop Grumman,"Northrop Grumman is a leading global aerospace and defense technology company. Our pioneering solutions equip our customers with the capabilities they need to connect and protect the world, and push the boundaries of human exploration across the universe. Driven by a shared purpose to solve our customers’ toughest problems, our employees define possible every day."
70,Nutanix,"As a global leader in cloud software, Nutanix transforms the way organizations do business. We offer a single platform to run all your apps and data across on-premises, public clouds, hybrid environments, and at the edge, while simplifying operations and reducing complexity. Our hybrid multicloud platform unifies management with one-click, applies intelligent AI-driven automation, and helps ensure always-on availability. Building on our legacy as the pioneer of hyperconverged infrastructure, we’ve earned a reputation for customer satisfaction, powering hybrid multicloud environments consistently and cost effectively. This enables companies to remain focused on achieving successful business outcomes and new innovations. Learn more at Nutanix.com."
71,RTX,"RTX is the world’s largest aerospace and defense company. With more than 180,000 global employees, we push the limits of technology and science to redefine how we connect and protect our world. Through industry-leading businesses we are advancing aviation, engineering integrated defense systems for operational success, and developing next generation technology solutions and manufacturing to help global customers address their most critical challenges.

RTX consists of three highly specialized businesses: Collins Aerospace specializes in advanced structures, avionics, connected aviation solutions, interiors, mission systems, and power and control systems that serve customers across the commercial, regional, business aviation and military sectors. Pratt & Whitney designs, manufactures and services the world's most advanced aircraft engines and auxiliary power systems for commercial, military and business aircraft. Raytheon creates next-generation defense solutions that are smarter, faster and better than previously thought possible. Raytheon specializes in integrated air and missile defense, advanced sensors, space-based systems, hypersonics, and effectors."
72,Voltron Data,"If you need to scale AI, you need to know Voltron Data, the company behind the first distributed data processing engine on NVIDIA GPUs, Theseus. Designed to solve terabyte-sized+ datasets, Theseus services the emerging market of enterprises with >10 terabyte data pipelines.  

Theseus is available as an embeddable engine for customers to build or enhance data analytics products. Today it is used by software providers like HPE, financial services groups,  and global government agencies. Theseus is not a SaaS, it is not a database, data lake, storage unit, cloud, or AI framework. Theseus is how you process data to scale AI - never leaving the GPU. 

Voltron Data was founded by former NVIDIANs and open-source pioneers. Josh Patterson, CEO, is the creator of NVIDIA RAPIDS. Keith Kraus, CTO, led the development of RAPIDS CuDF.   Rodrigo Aramburu, COO, started BlazingSQL, the first GPU-accelerated SQL engine. The CSDO, Darren Haas, built data systems at Apple, Amazon Web Services, and GE.

Collectively, Voltron Data builds data systems for full stack acceleration using open standards and its data processing engine for accelerators. They are champions of the composable data system movement and at the forefront of transformative open-source projects, including Apache Arrow, Ibis, Substrait, RAPIDS, Velox, Parquet, Calcite, and more."
73,xFusion,"xFusion is a leading global provider of computing infrastructures and services. Guided by the vision ""Let Computing Serve You Better"", xFusion continuously creates value for customers and partners, and accelerates the digital transformation of various industries.
With a global footprint, xFusion has established 11 research centers, 7 regional offices, and 6 Global Technical Assistance Centers (GTACs) worldwide. We've delivered innovative computing solutions to 10,000+ customers in over 130 countries and regions, including 223 Fortune Global 500 companies across key industries like telecom, finance, Internet, transportation, and energy"
74,6Estates,"6Estates is a pioneering Enterprise AI solution provider based in Singapore, specializing in domain-specific LLM-backed solutions. 6Estates is a one-stop shop providing seamless access to hardware, infrastructure, models, tuning, and applications."
75,7D Vision Tech,"7D Vision, a leader in Asia for a decade, provides real-time video graphics & live production tools across sectors like M&E, education, and the industrial metaverse. With generative AI tech, we are revolutionizing visual storytelling for a new era."
76,"AAEON Electronics, Inc.","Established in 1992, AAEON is a major player in industrial and embedded computing solutions, with a focus on innovation for Industry 4.0, AI hardware, and IoT. Specializing in customized services, all while advancing industry standards."
77,Ace Computers,"Ace Computers is a technology solutions provider helping customers stay connected and achieve mission success with industry-leading computer products, supplies, and services that are American-made without the premium price tag."
78,ADLINK Technology Inc.,"As an NVIDIA® Elite Partner, ADLINK offers diverse portfolios for embedded applications with RTX Embedded and Jetson™ modules, efficiently developing AI platforms, cameras, and solutions for manufacturing, healthcare, transportation, and gaming."
79,Advantech,"Advantech offers a full portfolio of industrial AI platforms embedded with NVIDIA technologies including AI cameras, edge AI systems, and GPU servers used in applications such as automated manufacturing, smart cities, agriculture, and healthcare."
80,Aetina Corporation,"Aetina, a provider of Edge AI solutions, offers a vast array of AI computing systems for different types of vertical AI. Our integrated solutions leverage NVIDIA AI such as Jetson SoM, RTX, and End-to-End AI development and deployment software suite."
81,AgileX Robotics,AgileX Robotics is a leading mobile robot and autonomy solution provider. AgileX offers the best robot development platform for both educational and industrial. AgileX is trusted by over a thousand companies and over 500 universities globally.
82,AMAX,"AMAX is a designer and provider of advanced computing solutions. AMAX focuses on artificial intelligence, machine learning, deep learning, high performance computing, and edge computing."
83,"Anaconda, Inc.","With >35 million users, Anaconda is the world’s most popular end-to-end operating system for AI/ML. Our solutions enable practitioners to easily and securely leverage open source for competitive advantage and groundbreaking discoveries."
84,Analog Devices,"Analog Devices is a global semiconductor leader that combines analog, digital, and software technologies into solutions that help drive advancements in Automotive, Consumer, Datacenter and Industrial applications at the Intelligent Edge."
85,Appen,"Appen is the global leader in AI training data. The partner to most of the world’s large-scale AI models, most of today’s interactions between consumers and AI are supported by Appen. Make Data Your Differentiator."
86,APPRO Photoelectron Inc.,"APPRO is dedicated in image processing technology and has own algorithm to do customize the image quality to meet the real needs of customers. For the AI and Deep Learning applications, APPRO can offer a “good eyes” to help customers to do analysis."
